ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
0242BDBCC5ECACEE11B16D9E415CE0E9C6B26B84_166;42682;46423;1;24746;25046;27388;[(42682, 46423, 2790541)]
0244584D9FCDE6F57CF7D8790D5FDA518EC920C5_167;41997;41696;1;34431;34731;36084;[(41997, 41696, 2791243)]
0244584D9FCDE6F57CF7D8790D5FDA518EC920C5_168;41694;43054;1;61456;61756;63120;[(41694, 43054, 2792830)]
0249AC627AFCEB59A694636DF841F10987170718_169;46159;46423;1;26172;26472;27684;[(46159, 46423, 2791499)]
0249C66317D6488FE6808B686B0AB0DB35168D57_170;41505;41353;1;26190;26490;28654;[(41505, 41353, 2790693)]
0249C66317D6488FE6808B686B0AB0DB35168D57_171;41354;41506;1;57959;58259;60538;[(41354, 41506, 2790639)]
024B30D05F1B94FA2CF4B6E5AF632335D2C97033_172;47031;41807;1;64008;64308;65456;[(47031, 41807, 2794105)]
024CF3AA890559D59E5C2790448D1605AFDBC253_173;42516;46322;1;76530;76830;78582;[(42516, 46322, 2794326)]
024EAD395C057474326B2170DE8E589B41F9F834_174;43193;46423;1;25703;26003;26778;[(43193, 46423, 2791171)]
024EAD395C057474326B2170DE8E589B41F9F834_175;41842;41348;1;63474;63774;64757;[(41842, 41348, 2792374)]
02500666965B2956DB0ADFF1B9116315A45F70A7_176;43421;43020;1;72035;72335;73426;[(43421, 43020, 2791464)]
0251B73AE0260004FB1054B5488BE2AEA147681C_177;41781;46443;1;28650;28950;30006;[(41781, 46443, 2791833)]
0252BB8C37033305632E263FAB32A9B239DA824B_178;41613;46423;1;26522;26822;29138;[(41613, 46423, 2792364)]
0253B55FE11C1F2AA3772BACC1002C1F67FE898F_179;41377;42459;1;49891;50191;52808;[(41377, 42459, 2790361)]
0253B55FE11C1F2AA3772BACC1002C1F67FE898F_180;42448;41378;1;79214;79514;81730;[(42448, 41378, 2790234)]
0254832E96FA1BDD07D738A7643076985A79CC78_181;41498;46119;1;34015;34315;37766;[(41498, 41964, 2791371), (41964, 43439, 2793062), (45030, 46119, 2793062)]
025DF052059C7D8F015B2F81CA77722E9AF1314E_182;41796;46412;1;52970;53270;56478;[(41796, 46412, 2791941)]
025F836AC3FCFAC2F1098983494D28D0966AAFDF_183;41682;43008;1;22778;23078;25296;[(41682, 41681, 2792723), (42969, 43008, 2794508)]
025F836AC3FCFAC2F1098983494D28D0966AAFDF_184;43007;42434;1;58547;58847;61040;[(43007, 42968, 2794683), (42969, 42434, 2794085)]
025FCDFF9C54E031E636E6FDFA7887FF1419DA2D_185;42828;41373;1;29610;29910;32002;[(42828, 41373, 2791985)]
0264F2B093F253859EF3CC0B56A366DBD54F2B6D_186;41392;41322;1;17542;17842;19356;[(41392, 41322, 2792612)]
0264F2B093F253859EF3CC0B56A366DBD54F2B6D_187;46629;41393;1;47551;47851;48644;[(46629, 41393, 2791811)]
026514F384A367BE2180E66148450D59D918E4F7_188;47031;41873;1;51731;52031;54870;[(47031, 41873, 2791078)]
027FE3A4E7552663B827CAFFE2BACD8DA7C897FD_189;42453;46628;1;22024;22324;25040;[(42453, 46628, 2790529)]
027FE3A4E7552663B827CAFFE2BACD8DA7C897FD_190;43302;42829;1;47104;47404;51154;[(43302, 41393, 2791811), (41394, 42829, 2791060)]
027FE3A4E7552663B827CAFFE2BACD8DA7C897FD_191;42828;42184;1;52100;52400;56722;[(42828, 42184, 2790603)]
02846B10FABA970E27F4C9CF2E5EA92FB6EF49A5_192;41395;41327;1;64211;64511;65226;[(41395, 41327, 2791766)]
0285CB730EA52C49F70C50B4F063B865C1AD2FFD_193;42711;48139;1;38949;39249;41030;[(42711, 48139, 2790212)]
0285CB730EA52C49F70C50B4F063B865C1AD2FFD_194;48039;42715;1;48073;48373;50300;[(48039, 42715, 2791762)]
028CCD87569369B4FDE6B844ED4CCA2754BC8746_195;43150;43137;1;29454;29754;31084;[(43150, 43137, 2793176)]
028FDD227F8ADF97748618F7D0E23359CBD332F7_196;41677;46470;1;35572;35872;37282;[(41677, 46470, 2790653)]
028FDD227F8ADF97748618F7D0E23359CBD332F7_197;43295;46326;1;50814;51114;52564;[(43295, 46326, 2791103)]
029320EE4FA267A5E451106E5EE5F18C5EBA84A1_198;41089;48139;1;25691;25991;28632;[(41089, 48139, 2793225)]
0296E5D4AA291D58B53E2A1B23F398B18A8902B9_199;42833;42774;1;86612;86912;88806;[(42833, 42774, 2793920)]
029D49FAF02E4D6B1DEE1C7F75D22CA92B64FB8E_200;46614;46423;1;23196;23496;26224;[(46614, 46423, 2791922)]
029D49FAF02E4D6B1DEE1C7F75D22CA92B64FB8E_201;42066;46615;1;80430;80730;83020;[(42066, 46615, 2794161)]
02ACF2F5F0913B8530A91F62077EE2DFB719DA3F_202;41865;41798;1;62557;62857;63586;[(41865, 41798, 2791206)]
02B078030E0EAAEDDEF2BFC1E83E0B6E6F49DA2A_203;42916;44913;1;61710;62010;63920;[(42916, 44913, 2791731)]
02B2B3759EC11A71429EC947A558787A326EA226_204;41832;48139;1;22166;22466;23834;[(41832, 48139, 2792872)]
02B2B3759EC11A71429EC947A558787A326EA226_205;41830;41801;1;60503;60803;61914;[(41830, 41801, 2792715)]
02B2B3759EC11A71429EC947A558787A326EA226_206;41800;41841;1;81802;82102;83316;[(41800, 41841, 2793993)]
02B4EC2FCDA5A4E294672FF4231416F1D72BF638_207;42774;46260;1;24163;24463;26146;[(42774, 46260, 2791610)]
02BBDAEA9DF4592B2F7B3E2CD16AEE0E51C0DFED_208;43421;43258;1;63495;63795;64927;[(43421, 43258, 2793383)]
02BC799ACFB80A240B24EE3CF83E8E2FB7C6068E_209;41842;42475;1;72420;72720;74555;[(41842, 42475, 2794454)]
02BD0920A8651F39189FC8587838EA56F910022B_210;46635;41875;1;70119;70419;72176;[(46635, 41864, 2793794), (41864, 41875, 2793905)]
